"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
19580,930,0,5365,20808,1300,8898,960,11700,13434,9000
4060,2070,2811,4896,47040,1282,1890,2748,1500,10812,2000
2840,1950,600,17680,44736,17884,23268,3960,0,7242,39620
14325,1080,4785,2220,24168,540,5376,1608,0,7824,13660
19320,546,8145,4762,14310,4457,28512,1800,3000,16740,5000
3412,235,1736,5050,23100,927,5280,444,535,8202,1500
4980,1500,2028,4478,24420,3494,5208,2640,500,7164,6000
7246,2574,7658,10863,18804,1039,7200,180,1600,6114,1000
400,3150,2340,400,7122,428,1200,270,120,2394,0
1345,1200,72,1805,13902,2213,1896,270,600,1746,0
0,0,0,580,6000,260,900,300,0,1110,0
4475,245,780,1055,10194,606,1320,540,790,2118,0
4578,480,1040,1656,11796,406,1992,780,1200,3000,0
7815,300,0,2935,10548,212,7278,720,1210,8322,0
3050,250,1040,3330,23472,1018,3492,360,900,4512,0
1600,0,1280,900,23172,7590,3096,180,2500,2598,0
1404,0,0,2420,16230,320,1740,2160,200,4722,0
6430,750,0,1100,21438,260,4308,1080,848,2478,0
1232,525,724,540,10290,241,3408,540,780,1842,2500
5090,0,0,4580,21876,2338,3540,540,300,19584,2500
10440,3915,16290,4405,27768,4473,1380,4500,40000,8712,0
7325,0,0,1554,9426,624,2400,420,2912,4932,0
2573,166,2730,960,13764,438,1800,276,3582,3558,7560
32620,0,0,885,19224,168,2016,900,18350,3720,5500
4810,0,6016,135,8250,515,1320,294,650,1788,0
3905,200,598,920,14136,700,3162,996,4070,13200,4500
15330,6760,10860,28857,25680,3304,12564,4800,2500,26598,300
7210,5488,12324,2586,27618,971,5472,5520,815,9000,3000
10700,1440,8145,5400,27336,352,14976,3384,0,8910,3750
7160,0,1448,3685,19224,782,4740,1002,1025,6156,1000
3510,2040,3212,4155,24450,356,2454,720,1700,9132,2000
